"","time","state","county","NAME","SAEMHI_PT","SAEPOVRTALL_PT"
"316",2004-01-01,"01","095","Marshall County",34855,15.8
"317",2004-01-01,"01","097","Mobile County",33191,20
"318",2004-01-01,"01","099","Monroe County",30228,18.5
"319",2004-01-01,"01","101","Montgomery County",35680,19.4
"320",2004-01-01,"01","103","Morgan County",40978,14
"321",2004-01-01,"01","105","Perry County",21640,30.4
"322",2004-01-01,"01","107","Pickens County",27737,20.8
"323",2004-01-01,"01","109","Pike County",28077,21.4
"324",2004-01-01,"01","111","Randolph County",30973,16.1
"325",2004-01-01,"01","113","Russell County",29680,19.4
"326",2004-01-01,"01","115","St. Clair County",41086,13.1
"327",2004-01-01,"01","117","Shelby County",61972,7
"328",2004-01-01,"01","119","Sumter County",21189,28.3
"329",2004-01-01,"01","121","Talladega County",34418,17.8
"330",2004-01-01,"01","123","Tallapoosa County",31464,17.1
"331",2004-01-01,"01","125","Tuscaloosa County",36598,17.2
"332",2004-01-01,"01","127","Walker County",32634,16.2
"333",2004-01-01,"01","129","Washington County",32147,18.1
"334",2004-01-01,"01","131","Wilcox County",19682,30.4
"335",2004-01-01,"01","133","Winston County",28764,17.2
"336",2005-01-01,"01","001","Autauga County",45019,10.4
"337",2005-01-01,"01","003","Baldwin County",42804,11.4
"338",2005-01-01,"01","005","Barbour County",29534,22.4
"339",2005-01-01,"01","007","Bibb County",34212,16.6
"340",2005-01-01,"01","009","Blount County",40588,11.4
"341",2005-01-01,"01","011","Bullock County",21728,38.2
"342",2005-01-01,"01","013","Butler County",28058,23.1
"343",2005-01-01,"01","015","Calhoun County",35937,16.9
"344",2005-01-01,"01","017","Chambers County",31538,16.2
"345",2005-01-01,"01","019","Cherokee County",33858,16.2
"346",2005-01-01,"01","021","Chilton County",36098,16.1
"347",2005-01-01,"01","023","Choctaw County",27512,24.4
"348",2005-01-01,"01","025","Clarke County",29531,20.9
"349",2005-01-01,"01","027","Clay County",33512,15.8
"350",2005-01-01,"01","029","Cleburne County",34287,15.5
"351",2005-01-01,"01","031","Coffee County",37025,15.1
"352",2005-01-01,"01","033","Colbert County",35590,15.7
"353",2005-01-01,"01","035","Conecuh County",24587,27.7
"354",2005-01-01,"01","037","Coosa County",31142,18.7
"355",2005-01-01,"01","039","Covington County",30847,18.4
"356",2005-01-01,"01","041","Crenshaw County",29410,23.5
"357",2005-01-01,"01","043","Cullman County",36693,14.7
"358",2005-01-01,"01","045","Dale County",36422,16
"359",2005-01-01,"01","047","Dallas County",24936,34.9
"360",2005-01-01,"01","049","DeKalb County",31501,19.4
"361",2005-01-01,"01","051","Elmore County",45474,13.1
"362",2005-01-01,"01","053","Escambia County",30600,22.2
"363",2005-01-01,"01","055","Etowah County",32973,15.8
"364",2005-01-01,"01","057","Fayette County",31720,17.9
"365",2005-01-01,"01","059","Franklin County",29698,19.5
"366",2005-01-01,"01","061","Geneva County",29492,20.3
"367",2005-01-01,"01","063","Greene County",22436,33.9
"368",2005-01-01,"01","065","Hale County",27535,30.4
"369",2005-01-01,"01","067","Henry County",33191,17.6
"370",2005-01-01,"01","069","Houston County",37947,14.9
"371",2005-01-01,"01","071","Jackson County",32208,18.8
"372",2005-01-01,"01","073","Jefferson County",41821,15.7
"373",2005-01-01,"01","075","Lamar County",30373,17
"374",2005-01-01,"01","077","Lauderdale County",33448,18.5
"375",2005-01-01,"01","079","Lawrence County",37871,16
"376",2005-01-01,"01","081","Lee County",35320,20.6
"377",2005-01-01,"01","083","Limestone County",40745,13
"378",2005-01-01,"01","085","Lowndes County",25590,29.5
"379",2005-01-01,"01","087","Macon County",23500,32
"380",2005-01-01,"01","089","Madison County",50522,10.3
"381",2005-01-01,"01","091","Marengo County",29635,25.2
"382",2005-01-01,"01","093","Marion County",29800,18.4
"383",2005-01-01,"01","095","Marshall County",34668,18.7
"384",2005-01-01,"01","097","Mobile County",36143,20
"385",2005-01-01,"01","099","Monroe County",30964,22.3
"386",2005-01-01,"01","101","Montgomery County",39749,17.4
"387",2005-01-01,"01","103","Morgan County",41339,14
"388",2005-01-01,"01","105","Perry County",22109,34.9
"389",2005-01-01,"01","107","Pickens County",28578,23.3
"390",2005-01-01,"01","109","Pike County",27581,28.6
"391",2005-01-01,"01","111","Randolph County",32974,19.2
"392",2005-01-01,"01","113","Russell County",30155,20
"393",2005-01-01,"01","115","St. Clair County",45416,13.2
"394",2005-01-01,"01","117","Shelby County",61563,6.3
"395",2005-01-01,"01","119","Sumter County",21252,36.6
"396",2005-01-01,"01","121","Talladega County",33986,19.3
"397",2005-01-01,"01","123","Tallapoosa County",32672,18.2
"398",2005-01-01,"01","125","Tuscaloosa County",34459,20.4
"399",2005-01-01,"01","127","Walker County",33666,15.6
"400",2005-01-01,"01","129","Washington County",33001,20.2
"401",2005-01-01,"01","131","Wilcox County",19407,37.8
"402",2005-01-01,"01","133","Winston County",29320,21.8
"403",2006-01-01,"01","001","Autauga County",46491,12.5
"404",2006-01-01,"01","003","Baldwin County",45493,11
"405",2006-01-01,"01","005","Barbour County",28692,28.7
"406",2006-01-01,"01","007","Bibb County",36794,18.8
"407",2006-01-01,"01","009","Blount County",41494,12.8
"408",2006-01-01,"01","011","Bullock County",23095,32.9
"409",2006-01-01,"01","013","Butler County",29158,22.8
"410",2006-01-01,"01","015","Calhoun County",36684,17.6
"411",2006-01-01,"01","017","Chambers County",32014,18.3
"412",2006-01-01,"01","019","Cherokee County",37097,18.1
"413",2006-01-01,"01","021","Chilton County",36717,19
"414",2006-01-01,"01","023","Choctaw County",28730,23.5
"415",2006-01-01,"01","025","Clarke County",29659,25.6
"416",2006-01-01,"01","027","Clay County",32512,15.6
"417",2006-01-01,"01","029","Cleburne County",35119,15.9
